,0
0,-340.8688775389455
1,-1683.5202751917532
2,-2170.305996499257
3,-1963.9259255427169
4,458.4377150849905
5,1912.448878007126
6,-8052.64296946465
7,6381.3644547426375
8,-12728.008857783396
9,273.4351450500544
10,-8620.812382862088
11,3428.556475052261
12,5135.237519036513
13,-9111.779231744818
14,13485.798470241367
15,-9020.358150441432
16,2411.610988696455
17,24154.999459689832
18,1009.1576067039277
19,-17938.75697677501
20,8106.365103096468
21,4458.228057833039
22,-16303.8447648515
23,-13217.1458218497
24,4084.296062095673
25,-1376.9382092760643
26,-13141.150167509913
27,14773.782021369901
28,9677.237401693477
29,16276.59979189036
30,-2845.252107236767
31,1414.1524842748186
32,18077.11739001912
33,-5825.476727519999
34,4875.494770366466
35,15371.324371859897
36,-5063.2974268374965
37,-8521.265429318068
38,15711.290894497652
39,-226.77883423748426
40,2546.258108135429
41,981.9698798214085
42,-1118.485019753687
43,-3430.8088682140224
44,1420.9613346410915
45,-1598.455279907328
46,9718.65994668263
47,260.2853086005198
48,710.97601251991
49,4291.087808450102
50,8670.978902514675
51,6369.557086565765
52,340.3984969735611
53,-2601.306133536622
54,-127.75860854168423
55,-944.7415398801677
56,709.0960787334479
57,7958.599444996333
58,4258.537460525287
59,-3680.467733807862
60,10921.109214347787
61,-5360.662027941085
